trial_index,Drug,SL_1,SL_2,SL_3,LL_1,LL_2,LL_3,P_1,P_2,P_3,S_1,S_2,S_3,Water,Complexity,Complexity_STD,Formulation,Size,Size_STD,PDI,PDI_STD,Formulation Quality,Solu,Solu_STD,iteration,Theoretical loading,Theoretical loading_STD
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 14,23.7565604920271,0.30818580169289,0.1089470241528073,0.01851101330020037,1,2000.0,0,2,1.0,0
46,0.254,0.0,0.265,0.0,0.0,0.025,0.339,0.117,0.0,0.0,0.0,1.0,0.0,0.0,5,0,Formulation 15,284.3709485070901,3.770705571680226,0.2860439941540171,0.004281912006318653,1,508.0000000000001,0,2,0.254,0
47,0.188,0.0,0.211,0.0,0.096,0.206,0.224,0.076,0.0,0.0,0.0,1.0,0.0,0.0,6,0,Formulation 16,1000.0,0.0,1.0,0.0,0,0.0,0,2,0.0,0
48,0.93,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 1,1000.0,0.0,1.0,0.0,0,0.0,0,3,0.0,0
49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 2,24.59807777895464,0.5631688849052873,0.1276925575330437,0.03083842146216682,1,2000.0,0,3,1.0,0
50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 3,1000.0,0.0,1.0,0.0,0,0.0,0,3,0.0,0
51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 4,25.05599646885509,0.9646704540408199,0.1205098589744067,0.03125497153704167,1,2000.0,0,3,1.0,0
52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 5,24.77689917090313,0.1669266724526073,0.1498188832706732,0.05111513730630458,1,2000.0,0,3,1.0,0
53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,Formulation 6,24.0876623474903,0.1538333035333526,0.09960364821415671,0.06427687150407162,1,2000.0,0,3,1.0,0
54,0.815,0.0,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,Formulation 7,198.0474783437021,3.789760376440289,0.3803017288734941,0.04584028674435721,1,1630.0,0,3,0.815,0
